Time,Emotion
12:47:13,Happy
12:47:13,Happy
12:47:14,Happy
12:47:14,Happy
12:47:14,Sad
12:47:14,Happy
12:47:14,Happy
12:47:14,Happy
12:47:14,Happy
12:47:14,Sad
12:47:14,Happy
12:47:15,Happy
12:47:15,Happy
12:47:15,Happy
12:47:15,Sad
12:47:15,Sad
12:47:15,Sad
12:47:15,Sad
12:47:16,Happy
12:47:16,Happy
12:47:16,Happy
12:47:17,Happy
12:47:17,Happy
12:47:17,Happy
12:47:17,Happy
12:47:17,Happy
12:47:17,Fearful
12:47:17,Happy
12:47:17,Angry
12:47:17,Happy
12:47:17,Neutral
12:47:17,Happy
12:47:17,Neutral
12:47:17,Happy
12:47:17,Happy
12:47:17,Happy
12:47:17,Happy
12:47:17,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:18,Happy
12:47:19,Sad
12:47:19,Happy
12:47:19,Happy
12:47:19,Happy
12:47:19,Happy
12:47:19,Happy
12:47:19,Happy
12:47:19,Happy
12:47:19,Happy
12:47:19,Sad
12:47:19,Happy
12:47:19,Happy
12:47:19,Happy
12:47:19,Happy
12:47:19,Sad
12:47:19,Happy
12:47:19,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Happy
12:47:20,Neutral
12:47:20,Happy
12:47:20,Neutral
12:47:20,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Neutral
12:47:21,Sad
12:47:21,Neutral
12:47:21,Sad
12:47:21,Neutral
12:47:22,Neutral
12:47:22,Neutral
12:47:22,Sad
12:47:22,Neutral
12:47:22,Sad
12:47:22,Neutral
12:47:22,Sad
12:47:22,Neutral
12:47:22,Sad
12:47:22,Neutral
12:47:22,Neutral
12:47:22,Neutral
12:47:22,Neutral
12:47:22,Neutral
12:47:22,Neutral
12:47:22,Sad
12:47:22,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:23,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Sad
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Sad
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:24,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:25,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Sad
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:26,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:27,Neutral
12:47:28,Neutral
12:47:28,Neutral
12:47:28,Sad
12:47:28,Neutral
12:47:28,Happy
12:47:28,Neutral
12:47:28,Neutral
12:47:28,Neutral
12:47:28,Happy
12:47:28,Happy
12:47:28,Happy
12:47:28,Neutral
12:47:28,Happy
12:47:29,Happy
12:47:29,Neutral
12:47:29,Happy
12:47:29,Neutral
12:47:29,Neutral
12:47:29,Neutral
12:47:29,Neutral
12:47:29,Neutral
12:47:29,Neutral
12:47:29,Neutral
12:47:29,Neutral
12:47:29,Neutral
12:47:30,Neutral
12:47:30,Neutral
12:47:30,Neutral
12:47:30,Neutral
12:47:30,Neutral
12:47:30,Neutral
12:47:30,Neutral
12:47:30,Happy
12:47:30,Happy
12:47:30,Neutral
12:47:30,Happy
12:47:30,Happy
12:47:31,Neutral
12:47:31,Neutral
12:47:31,Neutral
12:47:31,Happy
12:47:31,Neutral
12:47:31,Neutral
12:47:31,Neutral
12:47:31,Neutral
12:47:31,Neutral
12:47:31,Neutral
12:47:31,Neutral
12:47:31,Neutral
12:47:32,Neutral
12:47:32,Neutral
12:47:32,Neutral
12:47:32,Neutral
12:47:32,Happy
12:47:32,Neutral
12:47:32,Happy
12:47:32,Neutral
12:47:32,Happy
12:47:32,Happy
12:47:32,Happy
12:47:33,Happy
12:47:33,Happy
12:47:33,Happy
12:47:33,Happy
12:47:33,Neutral
12:47:33,Happy
12:47:33,Happy
12:47:33,Happy
12:47:33,Happy
12:47:33,Happy
12:47:33,Happy
12:47:33,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:34,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Happy
12:47:35,Neutral
12:47:35,Neutral
12:47:35,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:36,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
12:47:37,Neutral
